,title,subtiltle,link
0,"SAY WHAT? Sancho REMOVED from Man Utd WhatsApp group with Old Trafford future looking bleak
UNITED outcast has been removed from the WhatsApp group that is used to keep players up to date with team news. This is just another sign that shows Sancho's future at Old Trafford is getting more uncertain.",Sancho REMOVED from Man Utd WhatsApp group with Old Trafford future looking bleak,https://www.thesun.co.uk/sport/24652616/jadon-sancho-manchester-united-whatsapp-erik-ten-hag/
1,STAY TOONED Arteta to escape punishment for VAR rant after Newcastle loss... for now,Arteta to escape punishment for VAR rant after Newcastle loss... for now,https://www.thesun.co.uk/sport/24650653/arsenal-mikel-arteta-fa-punishment-var-rant-newcastle/
2,FIT FOR A KING Charles to announce huge change that will be 'watershed moment' for football,Charles to announce huge change that will be 'watershed moment' for football,https://www.thesun.co.uk/sport/24652939/king-charles-football-regulator/
3,"DAVE KIDD VAR is opposite to spirit of Beautiful Game, it just increases rage & bitterness","VAR is opposite to spirit of Beautiful Game, it just increases rage & bitterness",https://www.thesun.co.uk/sport/24651378/var-arsenal-newcastle-dave-kidd/
4,YOU'RE WELCOME All the best UK casino welcome bonuses for new players revealed,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
5,POST ROAR Postecoglou gives five-word answer when asked if Spurs will change tactics,Postecoglou gives five-word answer when asked if Spurs will change tactics,https://www.thesun.co.uk/sport/24653121/ange-postecoglou-tactics-chelsea/
6,TREBLE 'N STRIFE Fans stunned by Mudryk's reaction as Jackson completes Chelsea hat-trick,Fans stunned by Mudryk's reaction as Jackson completes Chelsea hat-trick,https://www.thesun.co.uk/sport/24652866/mudryk-reaction-chelsea-jackson-goal-tottenham/
7,RATINGS Jackson doubles his season's tally but Fernandez fails to impose in barnstormer,Jackson doubles his season's tally but Fernandez fails to impose in barnstormer,https://www.thesun.co.uk/football/24652223/chelsea-player-ratings-jackson-fernandez-premier-league-tottenham/
8,"END IT LIKE BECKHAM Romero SENT OFF for horror lunge straight after mad 'Beckham' kick
SPURS defender was lucky not to have been sent off moments before his tackle on international team-mate. And team-mate Udogie somehow stayed on pitch afetr shocking lunge in crazy first half.",Romero SENT OFF for horror lunge straight after mad 'Beckham' kick,https://www.thesun.co.uk/sport/24651757/cristian-romero-sent-off-chelsea-var/
9,DESTINY'S WILD Postecoglou blanks Udogie after 'mad' moment sees Spurs reduced to NINE men,Postecoglou blanks Udogie after 'mad' moment sees Spurs reduced to NINE men,https://www.thesun.co.uk/sport/24652338/ange-postecoglou-destiny-udogie-tottenham/
10,SEETHING SPURS Tottenham fans fume as James escapes red after catching Udogie with elbow,Tottenham fans fume as James escapes red after catching Udogie with elbow,https://www.thesun.co.uk/sport/24652046/tottenham-fans-fume-reece-james-escapes-red-card/
11,MAKES YOU MADD Ten-man Spurs rocked as star man Maddison & Van de Ven hobble off vs Chelsea,Ten-man Spurs rocked as star man Maddison & Van de Ven hobble off vs Chelsea,https://www.thesun.co.uk/sport/24651944/tottenham-chelsea-injuries-van-de-ven-maddison/
12,REPLAY CHAOS Spurs leave their own fans raging after showing controversial Romero replay,Spurs leave their own fans raging after showing controversial Romero replay,https://www.thesun.co.uk/sport/24651998/tottenham-big-screen-chelsea-cristian-romero/
13,"PULLING BACK New hopes for Luis Diaz's kidnapped dad as military withdraw from search area
THE terror group ELN kidnapped the Liverpool star's father and mother at gunpoint in Colombia nine days ago.",New hopes for Luis Diaz's kidnapped dad as military withdraw from search area,https://www.thesun.co.uk/sport/24646734/eln-guerillas-kidnap-luis-diazs-dad-security-guarantees-freeing/
14,MUS BE AWFUL Hojlund 'cooked' on MNF for horror stat but Utd fans say they know the truth,Hojlund 'cooked' on MNF for horror stat but Utd fans say they know the truth,https://www.thesun.co.uk/sport/24651563/rasmus-hojlund-monday-night-football-cooked/
15,BURN OUT Newcastle suffer injury blow with Dan Burn out for months with spinal injury,Newcastle suffer injury blow with Dan Burn out for months with spinal injury,https://www.thesun.co.uk/sport/24650677/newcastle-champions-league-dan-burn-injury/
16,PHIL THE POST Phil Neville lands new job five months after David Beckham axed him,Phil Neville lands new job five months after David Beckham axed him,https://www.thesun.co.uk/sport/24653010/phil-neville-portland-timbers-new-manager-miami-beckham/
17,NEVER SAY NEVER Forgotten Premier League star once sacked by Gary Neville gets new job,Forgotten Premier League star once sacked by Gary Neville gets new job,https://www.thesun.co.uk/sport/24649494/forgotten-premier-league-star-once-sacked-by-gary-neville-gets-new-job/
18,"FINAL WARNING Arteta is a 'Mercedes version of Neil Warnock' says referee charity
THE REFEREE's charity has warned Arteta's behaviour filters down to grassroots level. The charity's CEO attacked not only Arteta, but the behaviour of the club too.",Arteta is a 'Mercedes version of Neil Warnock' says referee charity,https://www.thesun.co.uk/sport/24650473/mikel-arteta-referees-charity-arsenal/
19,ART OF THE MATTER What Arteta 'privately told Arsenal stars' before his Newcastle VAR rant,What Arteta 'privately told Arsenal stars' before his Newcastle VAR rant,https://www.thesun.co.uk/sport/24648121/mikel-arteta-arsenal-var-rant-newcastle-loss/
20,STEP TOO VAR Gary Neville slams Arsenal statement on VAR controversy as 'dangerous',Gary Neville slams Arsenal statement on VAR controversy as 'dangerous',https://www.thesun.co.uk/sport/24651120/gary-neville-slams-arsenal-statement-var-controversy/
21,WRIGHT & WRONG Wright launches X-rated response to VAR controversy over Newcastle's winner,Wright launches X-rated response to VAR controversy over Newcastle's winner,https://www.thesun.co.uk/sport/24650989/ian-wright-var-newcastle-arsenal/
